Name,Description,ID,Color
Dead Balsam Fir Mixedwood - Leafless (25% Dead Fir),,725,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (30% Dead Fir),,730,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (35% Dead Fir),,735,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (40% Dead Fir),,740,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (45% Dead Fir),,745,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (50% Dead Fir),,750,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (55% Dead Fir),,755,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (60% Dead Fir),,760,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (65% Dead Fir),,765,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (70% Dead Fir),,770,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (75% Dead Fir),,775,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (80% Dead Fir),,780,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (85% Dead Fir),,785,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (90% Dead Fir),,790,"255,99,0,0"
Dead Balsam Fir Mixedwood - Leafless (95% Dead Fir),,795,"255,99,0,0"
Dead Balsam Fir Mixedwood (05% Dead Fir),,905,"255,99,0,0"
Dead Balsam Fir Mixedwood (10% Dead Fir),,910,"255,99,0,0"
Dead Balsam Fir Mixedwood (15% Dead Fir),,915,"255,99,0,0"
Dead Balsam Fir Mixedwood (20% Dead Fir),,920,"255,99,0,0"
Dead Balsam Fir Mixedwood (25% Dead Fir),,925,"255,99,0,0"
Dead Balsam Fir Mixedwood (30% Dead Fir),,930,"255,99,0,0"
Dead Balsam Fir Mixedwood (35% Dead Fir),,935,"255,99,0,0"
Dead Balsam Fir Mixedwood (40% Dead Fir),,940,"255,99,0,0"
Dead Balsam Fir Mixedwood (45% Dead Fir),,945,"255,99,0,0"
Dead Balsam Fir Mixedwood (50% Dead Fir),,950,"255,99,0,0"
Dead Balsam Fir Mixedwood (55% Dead Fir),,955,"255,99,0,0"
Dead Balsam Fir Mixedwood (60% Dead Fir),,960,"255,99,0,0"
Dead Balsam Fir Mixedwood (65% Dead Fir),,965,"255,99,0,0"
Dead Balsam Fir Mixedwood (70% Dead Fir),,970,"255,99,0,0"
Dead Balsam Fir Mixedwood (75% Dead Fir),,975,"255,99,0,0"
Dead Balsam Fir Mixedwood (80% Dead Fir),,980,"255,99,0,0"
Dead Balsam Fir Mixedwood (85% Dead Fir),,985,"255,99,0,0"
Dead Balsam Fir Mixedwood (90% Dead Fir),,990,"255,99,0,0"
Dead Balsam Fir Mixedwood (95% Dead Fir),,995,"255,99,0,0"
Green Aspen (with BUI Thresholding),,12,"86,137,112,68"
Immature Jack or Lodgepole Pine,,4,"255,112,168,0"
Jack or Lodgepole Pine Slash,,21,"227,251,190,185"
Leafless Aspen,,11,"70,196,189,151"
Matted Grass,,31,"255,255,255,190"
Mature Jack or Lodgepole Pine,,3,"96,131,199,149"
Non-fuel,,101,"0,130,130,130"
Not Available,,100,"0,255,255,255"
Ponderosa Pine - Douglas-Fir,,7,"231,112,12,242"
Red and White Pine,,5,"122,223,184,230"
Spruce-Lichen Woodland,,1,"255,209,255,115"
Standing Grass,,32,"255,230,230,0"
Unclassified,,104,"0,166,166,166"
Unknown,,103,"0,0,0,0"
Vegetated Non-Fuel,,105,"0,204,204,204"
Water,,102,"255,115,223,255"
White Spruce - Balsam Slash,,22,"229,247,104,161"
